,name,auc,nums,prec_@recall=0.6,f1_s_@recall=0.6,thre_@recall=0.6,prec_@recall=0.65,f1_s_@recall=0.65,thre_@recall=0.65,prec_@recall=0.7,f1_s_@recall=0.7,thre_@recall=0.7,prec_@recall=0.75,f1_s_@recall=0.75,thre_@recall=0.75,prec_@recall=0.8,f1_s_@recall=0.8,thre_@recall=0.8,prec_@recall=0.85,f1_s_@recall=0.85,thre_@recall=0.85,prec_@recall=0.9,f1_s_@recall=0.9,thre_@recall=0.9,precison_bset,recall_best,thresh_best,f1_score_best
242,职业身份_医护人员,0.9538251815163103,537.0,0.4347240915208614,0.5046875000000001,0.09533628076314926,0.36803364879074657,0.4704301075268817,0.06159147992730141,0.27405247813411077,0.393923520167627,0.033756811171770096,0.12350597609561753,0.21210526315789474,0.011165662668645382,0.07895703268453912,0.14374059836202574,0.0063744462095201015,0.046608873023967365,0.0883774898472249,0.0035411876160651445,0.023927229582756573,0.046616903443294,0.0015690536238253117,0.5169340463458111,0.5400372439478585,0.1684391553877235,0.5282331511839709
243,职业身份_司机代驾,0.9889049383260559,147.0,0.1885593220338983,0.2875605815831987,0.05300226807594299,0.1893491124260355,0.2935779816513761,0.04759560897946358,0.17224080267558528,0.2765100671140939,0.03845733031630516,0.13720642768850433,0.23221757322175732,0.02545388601720333,0.09577922077922078,0.1711385061638869,0.013693432323634624,0.07396449704142012,0.1360914534567229,0.008470937609672546,0.04536152796725784,0.08639168561221175,0.0033712293952703476,0.29439252336448596,0.42857142857142855,0.14334438451195672,0.34903047091412737
244,职业身份_外卖快递,0.9262912588024856,405.0,0.0593841642228739,0.10807204803202133,0.010773294605314732,0.05052631578947368,0.09378330373001777,0.008207143284380436,0.038131041890440386,0.07232904622437285,0.005543478298932314,0.03061738342229832,0.05883491387652409,0.003958154935389757,0.019440777631105244,0.03795911194423291,0.0020518486853688955,0.015550347065717118,0.030543136647337432,0.0014119765255600214,0.011883831477502117,0.023458337350171922,0.0008590241777710617,0.39590443686006827,0.28641975308641976,0.16532720362801287,0.332378223495702
245,职业身份_学生,0.9435516603037137,5979.0,0.5150732127476314,0.5543453070683663,0.22771720588207245,0.4804697156983931,0.5525623711706589,0.18091079592704773,0.44002943340691686,0.5404079524916086,0.13836583495140076,0.4001963058802534,0.5219364599092284,0.1054849699139595,0.3500914745700695,0.4870698432091224,0.07478294521570206,0.28877400295420974,0.43110979178151904,0.04936530813574791,0.22038409565537856,0.354078947368421,0.030020415782928467,0.5039531079607416,0.6183308245526008,0.20982399405198407,0.555313556139692
246,职业身份_安保人员,0.9506904971846291,110.0,0.1527777777777778,0.24354243542435428,0.013406648300588131,0.11428571428571428,0.19459459459459458,0.008805534802377224,0.061452513966480445,0.11298606016140865,0.004131752531975508,0.02615820989599748,0.05056350898568383,0.0015073171816766262,0.021447721179624665,0.04177545691906005,0.0011609470238909125,0.011757348342714196,0.023195558297347315,0.0005548190674744546,0.005551816958277255,0.011035559023520233,0.00021692925656680018,0.8648648648648649,0.2909090909090909,0.3480031800382461,0.4353741496598639
247,职业身份_小商贩,0.980203835804152,433.0,0.39274924471299094,0.4748858447488584,0.14328205585479736,0.32867132867132864,0.4368706429124709,0.09030715376138687,0.29600778967867575,0.41643835616438357,0.06467247009277344,0.25630914826498424,0.38212815990593774,0.04257651045918465,0.1818658280922432,0.2964545066211021,0.01982967182993889,0.1320687186828919,0.22869538270839787,0.00987333245575428,0.0848379377855123,0.1550695825049702,0.0041511692106723785,0.5174013921113689,0.5150115473441108,0.2895633032236341,0.5162037037037037
248,职业身份_工厂技工,0.9728071786246113,100.0,0.16172506738544473,0.2547770700636942,0.019050566479563713,0.11926605504587157,0.20155038759689922,0.010305673815310001,0.09186351706036745,0.16241299303944315,0.006541833281517029,0.06590509666080843,0.12116316639741517,0.003865096252411604,0.03992015968063872,0.07604562737642587,0.0019631623290479183,0.023957158962795943,0.04660087719298246,0.0010132755851373076,0.018738288569643973,0.036712217009993886,0.000718458613846451,0.3582089552238806,0.48,0.08904649085163716,0.4102564102564103
249,职业身份_建筑工人,0.9907233533324247,90.0,0.28272251308900526,0.38434163701067614,0.045045942068099976,0.2277992277992278,0.33810888252148996,0.025948967784643173,0.21428571428571427,0.328125,0.02143649198114872,0.1687344913151365,0.27586206896551724,0.011230630800127983,0.1506276150627615,0.25352112676056343,0.008651789277791977,0.08574610244988864,0.15587044534412955,0.003203014610335231,0.040238450074515646,0.07703281027104136,0.0011216572020202875,0.4935064935064935,0.4222222222222222,0.31946466446757005,0.4550898203592814
250,职业身份_教师,0.9679509732907416,643.0,0.3008573655494934,0.40083073727933544,0.0658516213297844,0.26339004410838057,0.3748878923766816,0.04833328351378441,0.21055088702147526,0.3238779174147217,0.03105391003191471,0.15555555555555556,0.25773745997865527,0.01800861768424511,0.12782328121121866,0.22046232876712327,0.01244780607521534,0.068375,0.1265764202244591,0.0053500821813941,0.04232456140350877,0.08084898415136493,0.0028472128324210644,0.425561797752809,0.4712286158631415,0.14993340162931482,0.44723247232472324
251,职业身份_消防员,0.9836812107316051,369.0,0.6894409937888198,0.6425470332850941,0.2081511914730072,0.6,0.624187256176853,0.1141083687543869,0.5307377049180327,0.6044340723453908,0.07852703332901001,0.4281298299845441,0.5452755905511811,0.04428250342607498,0.33109619686800895,0.46872525732383213,0.026549536734819412,0.21715076071922546,0.3460055096418732,0.012137641198933125,0.0765869365225391,0.1411914352342591,0.0027074955869466066,0.6590909090909091,0.6287262872628726,0.15997716904915393,0.6435506241331483
