,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
140,最右特色玩法_声控,0.9320676,184,0.163043478,0.256410256,0.576684475,0.163043478,0.260869565,0.603384137,0.114130435,0.196261682,0.698457003,0.048913043,0.091836735,0.88145119,0,0,0.995425165,0,0,0.995425165,0,0,0.995425165,0.304568528,0.326086957,0.189130782,0.31496063
126,文化_中国习俗,0.855140282,82,0.06097561,0.111111111,0.423562944,0.06097561,0.112359551,0.467434108,0.06097561,0.112359551,0.467434108,0.048780488,0.091954023,0.713558197,0.048780488,0.091954023,0.713558197,0.036585366,0.070588235,0.854870975,0.036585366,0.070588235,0.854870975,0.22972973,0.207317073,0.058464037,0.217948718
155,机械载具_卡车,0.993855379,63,0.047619048,0.088235294,0.778445482,0.047619048,0.089552239,0.794384718,0.047619048,0.089552239,0.794384718,0.047619048,0.089552239,0.794384718,0.031746032,0.061538462,0.895883441,0.031746032,0.061538462,0.895883441,0.031746032,0.061538462,0.895883441,0.342465753,0.396825397,0.106342686,0.367647059
298,音乐_听歌,0.946345124,509,0.186640472,0.284857571,0.608394027,0.16502947,0.263322884,0.676008701,0.104125737,0.181506849,0.824480057,0.047151277,0.088724584,0.931582689,0.029469548,0.056925996,0.962261736,0.025540275,0.049618321,0.972268939,0.025540275,0.049713193,0.9740417,0.330960854,0.365422397,0.189726998,0.347338936
137,最右特色玩法_p图,0.881982421,45,0.044444444,0.083333333,0.178998128,0.044444444,0.083333333,0.178998128,0.044444444,0.085106383,0.21945487,0.044444444,0.085106383,0.21945487,0.044444444,0.085106383,0.21945487,0.044444444,0.085106383,0.21945487,0.044444444,0.085106383,0.21945487,0.130434783,0.066666667,0.08181248,0.088235294
77,工作_欠薪讨薪,0.918345758,23,0.043478261,0.083333333,0.133097216,0.043478261,0.083333333,0.133097216,0.043478261,0.083333333,0.133097216,0.043478261,0.083333333,0.133097216,0.043478261,0.083333333,0.133097216,0.043478261,0.083333333,0.133097216,0.043478261,0.083333333,0.133097216,0.4,0.086956522,0.103800023,0.142857143
192,特色专题_爱党爱国,0.954376506,92,0.054347826,0.1,0.716012061,0.054347826,0.101010101,0.718020141,0.054347826,0.101010101,0.718020141,0.043478261,0.082474227,0.733716846,0.043478261,0.082474227,0.733716846,0,0,0.918560624,0,0,0.918560624,0.205357143,0.25,0.156155308,0.225490196
0,事故_交通事故,0.980872425,218,0.155963303,0.248175182,0.569175899,0.146788991,0.239700375,0.59736681,0.064220183,0.117647059,0.759517014,0.036697248,0.070175439,0.820590854,0.036697248,0.070175439,0.820590854,0.036697248,0.070484581,0.824396014,0.032110092,0.062222222,0.865971863,0.434285714,0.348623853,0.264453476,0.386768448
184,特殊节日_过年过节,0.870717271,345,0.060869565,0.110526316,0.563898385,0.043478261,0.081521739,0.662802637,0.04057971,0.076712329,0.696477532,0.034782609,0.066481994,0.739728332,0.034782609,0.066666667,0.778228998,0,0,0.992173672,0,0,0.992173672,0.317610063,0.292753623,0.099217495,0.304675716
42,四坑_lolita,0.994730832,58,0.086206897,0.151515152,0.841171086,0.086206897,0.153846154,0.843157887,0.086206897,0.153846154,0.843157887,0.034482759,0.066666667,0.931356132,0.034482759,0.066666667,0.931356132,0.034482759,0.066666667,0.931356132,0.034482759,0.066666667,0.931356132,0.380952381,0.551724138,0.1484866,0.450704225
197,生活_旅行,0.972172483,174,0.086206897,0.150753769,0.738026559,0.040229885,0.076086957,0.866953015,0.040229885,0.076086957,0.866953015,0.034482759,0.065934066,0.887085021,0.034482759,0.066298343,0.89252609,0.034482759,0.066298343,0.89252609,0.028735632,0.055865922,0.93379724,0.359813084,0.442528736,0.198141206,0.396907216
203,生活_追星,0.960335143,736,0.100543478,0.172293364,0.63673687,0.070652174,0.12745098,0.707861066,0.038043478,0.072164948,0.791849911,0.033967391,0.065019506,0.814121544,0.033967391,0.065189048,0.815455616,0.032608696,0.062827225,0.818992913,0.005434783,0.010810811,0.938611686,0.350574713,0.497282609,0.117101789,0.411235955
63,室外_地标建筑,0.974173252,30,0.033333333,0.064516129,0.550580621,0.033333333,0.064516129,0.550580621,0.033333333,0.064516129,0.550580621,0.033333333,0.064516129,0.550580621,0.033333333,0.064516129,0.550580621,0.033333333,0.064516129,0.550580621,0.033333333,0.064516129,0.550580621,0.333333333,0.233333333,0.203344805,0.274509804
